[Name]
Series 1 at E:/fh-w cfd/fhwcfd_files/dp0/FFF/Fluent/microphone.ard

[Data]
Time [ s ],Pressure [ Pa ]
1.71263050e-02, 2.00316438e+05
1.71606690e-02, 2.00662094e+05
1.71950329e-02, 2.01000906e+05
1.72293968e-02, 2.01357422e+05
1.72637608e-02, 2.01708031e+05
1.72981247e-02, 2.02058469e+05
1.73324905e-02, 2.02409594e+05
1.73668545e-02, 2.02761078e+05
1.74012184e-02, 2.03103469e+05
1.74355824e-02, 2.03462266e+05
1.74699463e-02, 2.03817391e+05
1.75043121e-02, 2.04172688e+05
1.75386760e-02, 2.04527234e+05
1.75730400e-02, 2.04869109e+05
1.76074039e-02, 2.05236078e+05
1.76417679e-02, 2.05595484e+05
1.76761337e-02, 2.05949703e+05
1.77104976e-02, 2.06310188e+05
1.77448615e-02, 2.06656688e+05
1.77792255e-02, 2.07025000e+05
1.78135894e-02, 2.07387578e+05
1.78479552e-02, 2.07747359e+05
1.78823192e-02, 2.08108188e+05
1.79166831e-02, 2.08459250e+05
1.79510470e-02, 2.08833125e+05
1.79854110e-02, 2.09195734e+05
1.80197768e-02, 2.09559406e+05
1.80541407e-02, 2.09922500e+05
1.80885047e-02, 2.10278859e+05
1.81228686e-02, 2.10654109e+05
1.81572326e-02, 2.11021281e+05
1.81915984e-02, 2.11390500e+05
1.82259623e-02, 2.11757219e+05
1.82603262e-02, 2.12115922e+05
1.82946902e-02, 2.12497359e+05
1.83290541e-02, 2.12864000e+05
1.83634181e-02, 2.13236906e+05
1.83977839e-02, 2.13611266e+05
1.84321478e-02, 2.13980891e+05
1.84665117e-02, 2.14342813e+05
1.85008757e-02, 2.14728250e+05
1.85352396e-02, 2.15105563e+05
1.85696054e-02, 2.15479828e+05
1.86039694e-02, 2.15855859e+05
1.86383333e-02, 2.16225250e+05
1.86726972e-02, 2.16611172e+05
1.87070612e-02, 2.16989250e+05
1.87414270e-02, 2.17370719e+05
1.87757909e-02, 2.17748703e+05
1.88101549e-02, 2.18123734e+05
1.88445188e-02, 2.18516734e+05
1.88788828e-02, 2.18899047e+05
1.89132486e-02, 2.19284813e+05
1.89476125e-02, 2.19670375e+05
1.89819764e-02, 2.20044594e+05
1.90163404e-02, 2.20439094e+05
1.90507043e-02, 2.20827656e+05
1.90850701e-02, 2.21218578e+05
1.91194341e-02, 2.21609578e+05
1.91537980e-02, 2.21991516e+05
1.91881619e-02, 2.22391828e+05
1.92225259e-02, 2.22788172e+05
1.92568917e-02, 2.23180938e+05
1.92912556e-02, 2.23577563e+05
1.93256196e-02, 2.23961844e+05
1.93599835e-02, 2.24367594e+05
1.93943474e-02, 2.24770594e+05
1.94287114e-02, 2.25169406e+05
1.94630772e-02, 2.25566547e+05
1.94974411e-02, 2.25968469e+05
1.95318051e-02, 2.26359109e+05
1.95661690e-02, 2.26783563e+05
1.96005329e-02, 2.27203531e+05
1.96348988e-02, 2.27592406e+05
1.96692627e-02, 2.27996234e+05
1.97036266e-02, 2.28400125e+05
1.97379906e-02, 2.28829094e+05
1.97723545e-02, 2.29234234e+05
1.98067203e-02, 2.29670906e+05
1.98410843e-02, 2.30078922e+05
1.98754482e-02, 2.30474672e+05
1.99098121e-02, 2.30920969e+05
1.99441761e-02, 2.31329969e+05
1.99785419e-02, 2.31737188e+05
2.00129058e-02, 2.32173109e+05
2.00472698e-02, 2.32585359e+05
2.00816337e-02, 2.33020891e+05
2.01159976e-02, 2.33448484e+05
2.01503634e-02, 2.33887438e+05
2.01847274e-02, 2.34332531e+05
2.02190913e-02, 2.34734031e+05
2.02534553e-02, 2.35172797e+05
2.02878192e-02, 2.35613844e+05
2.03221850e-02, 2.36074109e+05
2.03565490e-02, 2.36507406e+05
2.03909129e-02, 2.36927188e+05
2.04252768e-02, 2.37382438e+05
2.04596408e-02, 2.37814984e+05
2.04940047e-02, 2.38274859e+05
2.05283705e-02, 2.38722813e+05
2.05627345e-02, 2.39176391e+05
2.05970984e-02, 2.39612516e+05
2.06314623e-02, 2.40073078e+05
2.06658263e-02, 2.40526922e+05
2.07001921e-02, 2.40990609e+05
2.07345560e-02, 2.41459969e+05
2.07689200e-02, 2.41887313e+05
2.08032839e-02, 2.42365844e+05
2.08376478e-02, 2.42837953e+05
2.08720136e-02, 2.43289813e+05
2.09063776e-02, 2.43762813e+05
2.09407415e-02, 2.44204375e+05
2.09751055e-02, 2.44702375e+05
2.10094694e-02, 2.45177328e+05
2.10438352e-02, 2.45651359e+05
2.10781991e-02, 2.46127672e+05
2.11125631e-02, 2.46590281e+05
2.11469270e-02, 2.47077188e+05
2.11812910e-02, 2.47552719e+05
2.12156568e-02, 2.48030750e+05
2.12500207e-02, 2.48503813e+05
2.12843847e-02, 2.48981672e+05
2.13187486e-02, 2.49489516e+05
2.13531125e-02, 2.49954141e+05
2.13874765e-02, 2.50445563e+05
2.14218423e-02, 2.50939594e+05
2.14562062e-02, 2.51408563e+05
2.14905702e-02, 2.51916188e+05
2.15249341e-02, 2.52393859e+05
2.15592980e-02, 2.52908344e+05
2.15936638e-02, 2.53406328e+05
2.16280278e-02, 2.53891094e+05
2.16623917e-02, 2.54360156e+05
2.16967557e-02, 2.54882344e+05
2.17311196e-02, 2.55381953e+05
2.17654854e-02, 2.55883875e+05
2.17998493e-02, 2.56367438e+05
2.18342133e-02, 2.56837375e+05
2.18685772e-02, 2.57360797e+05
2.19029412e-02, 2.57858594e+05
2.19373070e-02, 2.58360141e+05
2.19716709e-02, 2.58861047e+05
2.20060349e-02, 2.59347688e+05
2.20403988e-02, 2.59860141e+05
2.20747627e-02, 2.60347047e+05
2.21091285e-02, 2.60827734e+05
2.21434925e-02, 2.61341594e+05
2.21778564e-02, 2.61824063e+05
2.22122204e-02, 2.62338031e+05
2.22465843e-02, 2.62839531e+05
2.22809501e-02, 2.63322844e+05
2.23153140e-02, 2.63803969e+05
2.23496780e-02, 2.64307000e+05
2.23840419e-02, 2.64814188e+05
2.24184059e-02, 2.65301000e+05
2.24527698e-02, 2.65781750e+05
2.24871356e-02, 2.66278000e+05
2.25214995e-02, 2.66760219e+05
2.25558635e-02, 2.67241781e+05
2.25902274e-02, 2.67717844e+05
2.26245914e-02, 2.68210688e+05
2.26589572e-02, 2.68705313e+05
2.26933211e-02, 2.69170281e+05
2.27276850e-02, 2.69632813e+05
2.27620490e-02, 2.70108313e+05
2.27964129e-02, 2.70566875e+05
2.28307787e-02, 2.71051375e+05
2.28651427e-02, 2.71508313e+05
2.28995066e-02, 2.71951688e+05
2.29338706e-02, 2.72437406e+05
2.29682345e-02, 2.72875813e+05
2.30026003e-02, 2.73343656e+05
2.30369642e-02, 2.73799469e+05
2.30713282e-02, 2.74203906e+05
2.31056921e-02, 2.74681844e+05
2.31400561e-02, 2.75117500e+05
2.31744219e-02, 2.75546188e+05
2.32087858e-02, 2.75994469e+05
2.32431497e-02, 2.76391063e+05
2.32775137e-02, 2.76833750e+05
2.33118776e-02, 2.77263938e+05
2.33462434e-02, 2.77669469e+05
2.33806074e-02, 2.78061531e+05
2.34149713e-02, 2.78450844e+05
2.34493352e-02, 2.78863750e+05
2.34836992e-02, 2.79265688e+05
